case_id,existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,proxy_id,proxy_label,proxy_group,baseline_normalized_response_integral,retrofit_normalized_response_integral,relative_photocurrent_proxy_gain_percent,passes_positive_gain_gate,passes_provisional_margin_gate,is_nominal_optical_case,maximum_tmm_physical_violation
36,1.25,80.0,1.08,0.0,125.0,1.25,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.0469987013121,1.102578005600185,True,True,False,0.0
36,1.25,80.0,1.08,0.0,125.0,1.25,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.659081545102,1.0966593459016591,True,True,False,0.0
37,1.25,80.0,1.08,0.0,135.0,1.15,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.4215507410579,1.0500542114804579,True,True,False,0.0
37,1.25,80.0,1.08,0.0,135.0,1.15,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.7551743006329,1.050729565487264,True,True,False,0.0
37,1.25,80.0,1.08,0.0,135.0,1.15,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.3857431546929,1.0479794268450842,True,True,False,0.0
38,1.25,80.0,1.08,0.0,135.0,1.15,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.5454020834675,1.071917792347479,True,True,False,0.0
38,1.25,80.0,1.08,0.0,135.0,1.15,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.8760004704698,1.0721967506036547,True,True,False,0.0
38,1.25,80.0,1.08,0.0,135.0,1.15,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.5046789129425,1.0691611681872197,True,True,False,0.0
39,1.25,80.0,1.08,0.0,135.0,1.15,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.3107724013282,1.0304984186899004,True,True,False,0.0
39,1.25,80.0,1.08,0.0,135.0,1.15,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.6405407908292,1.0303626302544275,True,True,False,0.0
39,1.25,80.0,1.08,0.0,135.0,1.15,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.2727565087284,1.027857186526797,True,True,False,0.0
40,1.25,80.0,1.08,0.0,135.0,1.2,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.2848946319921,1.2024610292690379,True,True,False,0.0
40,1.25,80.0,1.08,0.0,135.0,1.2,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.6095191220681,1.2025210065281025,True,True,False,0.0
40,1.25,80.0,1.08,0.0,135.0,1.2,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.2329097965685,1.1988546972094503,True,True,False,0.0
41,1.25,80.0,1.08,0.0,135.0,1.2,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.5840684784829,1.2552744381412517,True,True,False,0.0
41,1.25,80.0,1.08,0.0,135.0,1.2,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.9021840220125,1.254518778142147,True,True,False,0.0
41,1.25,80.0,1.08,0.0,135.0,1.2,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.5194615549435,1.2498878374219837,True,True,False,0.0
42,1.25,80.0,1.08,0.0,135.0,1.2,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.16109248335,1.18060613261886,True,True,False,0.0
42,1.25,80.0,1.08,0.0,135.0,1.2,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.4794581886542,1.1794130810035472,True,True,False,0.0
42,1.25,80.0,1.08,0.0,135.0,1.2,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.0995430218593,1.1751028788572468,True,True,False,0.0
43,1.25,80.0,1.08,0.0,135.0,1.25,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.9134802001213,1.3134257643559326,True,True,False,0.0
43,1.25,80.0,1.08,0.0,135.0,1.25,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.2301052029411,1.312780533059022,True,True,False,0.0
43,1.25,80.0,1.08,0.0,135.0,1.25,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.8457886617666,1.3080047273412503,True,True,False,0.0
44,1.25,80.0,1.08,0.0,135.0,1.25,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.9783576395921,1.3248786329055902,True,True,False,0.0
