existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,incident_power_w_m2,baseline_transmitted_power_w_m2,retrofit_transmitted_power_w_m2,additional_transmitted_power_w_m2,baseline_weighted_transmittance_percent,retrofit_weighted_transmittance_percent,absolute_gain_percentage_points,relative_gain_percent,retrofit_absorbed_power_w_m2,retrofit_weighted_absorptance_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_physical_violation
1.25,80.0,1.08,1e-05,116.736,1.25,50.0,836.08151675,823.7195532370972,831.7982531418655,8.078699904768314,98.52144040201297,99.48769784736012,0.9662574453471572,0.9807585449465424,0.019655139916508683,0.0023508640632209843,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.25,75.0,836.08151675,823.7195532370972,829.4186700875853,5.699116850488053,98.52144040201297,99.20308647794126,0.681646075928284,0.6918758730555028,0.019303059220948396,0.0023087532536280523,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.15,30.0,836.08151675,823.7195532370972,831.0149611805118,7.295407943414602,98.52144040201297,99.39401177182066,0.8725713698077159,0.8856664765021928,0.02235317781945704,0.0026735644039050026,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.15,50.0,836.08151675,823.7195532370972,831.1017344831673,7.382181246070104,98.52144040201297,99.40439034148369,0.8829499394707321,0.8962008024526325,0.02210241624415078,0.0026435719246691238,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.15,75.0,836.08151675,823.7195532370972,830.7004636718477,6.980910434750513,98.52144040201297,99.3563961204322,0.8349557184192485,0.84748630857633,0.02169785416251678,0.0025951840493807663,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.2,30.0,836.08151675,823.7195532370972,831.9794082311762,8.259854994078978,98.52144040201297,99.50936500369373,0.98792460168077,1.0027508709267563,0.02198916755752087,0.0026300267518168255,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.2,50.0,836.08151675,823.7195532370972,832.0273730881171,8.307819851019872,98.52144040201297,99.51510186738224,0.9936614653692943,1.008573830543582,0.02161449808704436,0.0025852141990967367,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.2,75.0,836.08151675,823.7195532370972,831.0711475586626,7.351594321565358,98.52144040201297,99.40073197517707,0.8792915731641018,0.8924875332477745,0.021212847187818618,0.002537174517417487,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.25,30.0,836.08151675,823.7195532370972,832.5198685013585,8.800315264261258,98.52144040201297,99.57400705824878,1.0525666562358267,1.068363040512673,0.021631035700439425,0.00258719218964715,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.25,50.0,836.08151675,823.7195532370972,831.8597820550877,8.140228817990533,98.52144040201297,99.49505704762821,0.9736166456152594,0.9882281883440336,0.021165581205629697,0.0025315212430367003,True,True,0.0
1.25,80.0,1.08,1e-05,125.0,1.25,75.0,836.08151675,823.7195532370972,829.5194483280977,5.799895091000508,98.52144040201297,99.21514011607263,0.6936997140596707,0.7041104060487298,0.02081952630069238,0.0024901311515199667,True,True,0.0
1.25,80.0,1.08,1e-05,135.0,1.15,30.0,836.08151675,823.7195532370972,830.7066026314678,6.987049394370615,98.52144040201297,99.35713037414995,0.835689972136992,0.8482315815998945,0.024132492389471523,0.002886380323688877,True,True,0.0
1.25,80.0,1.08,1e-05,135.0,1.15,50.0,836.08151675,823.7195532370972,830.8151327936387,7.095579556541452,98.52144040201297,99.37011118523074,0.8486707832177959,0.8614072020819299,0.02385338106062259,0.00285299705623741,True,True,0.0
1.25,80.0,1.08,1e-05,135.0,1.15,75.0,836.08151675,823.7195532370972,830.4830168762389,6.763463639141719,98.52144040201297,99.33038827415736,0.8089478721443962,0.8210881497910663,0.02342545844021491,0.0028018151305717054,True,True,0.0
1.25,80.0,1.08,1e-05,135.0,1.2,30.0,836.08151675,823.7195532370972,831.7716083922572,8.05205515516002,98.52144040201297,99.48451098709894,0.963070585085987,0.9775238579097244,0.02378583457666049,0.002844918121036849,True,True,0.0
